country,indicator,percent,ageRange,definition,surveyYear,published,method,scope,confidence,limits,sourceName,sourceUrl
BFA,ipv-lifetime,25,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
BGD,ipv-lifetime,50,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
BGR,ipv-lifetime,12,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
BIH,ipv-lifetime,12,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
BLR,ipv-lifetime,15,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
BLZ,ipv-lifetime,21,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
BOL,ipv-lifetime,32,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
BRA,ipv-lifetime,23,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
BTN,ipv-lifetime,21,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
BWA,ipv-lifetime,25,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
CAF,ipv-lifetime,41,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
CAN,ipv-lifetime,20,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
CHE,ipv-lifetime,12,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
CHL,ipv-lifetime,20,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
CHN,ipv-lifetime,20,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
CIV,ipv-lifetime,26,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
CMR,ipv-lifetime,33,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
COD,ipv-lifetime,47,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
COG,ipv-lifetime,33,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
COL,ipv-lifetime,24,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
COM,ipv-lifetime,27,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
CRI,ipv-lifetime,17,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
CUB,ipv-lifetime,20,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
CYP,ipv-lifetime,12,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
CZE,ipv-lifetime,13,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
DEU,ipv-lifetime,13,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
DJI,ipv-lifetime,25,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
DNK,ipv-lifetime,14,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
DOM,ipv-lifetime,22,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
DZA,ipv-lifetime,19,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
ECU,ipv-lifetime,24,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
EGY,ipv-lifetime,26,15–49 岁，曾有过伴侣的女性,曾有过伴侣的女性中，一生中至少经历过一次伴侣施加的身体暴力或性暴力,2018,2021-03-09,世界卫生组织汇总 161 个国家/地区共 366 项人口调查（约 200 万名女性）建立的贝叶斯多层模型国家估计,national,modelled,模型估计，不是逐国实测：数据稀少的国家由区域模式补齐，不确定区间很宽。各国原始调查的年份、年龄范围与问法不同。自陈调查普遍低报，真实比例可能更高。**本站的这份表是转录，尚未与原始文件逐行核对，引用前请打开来源核实。**,"世界卫生组织《Violence against women prevalence estimates, 2018》",https://www.who.int/publications/i/item/9789240022256
